SYMBOL, SERIES, DATE1,PREVCL, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
NILAINFRA, EQ, 30-Jun-2020,4.85,5,5,4.65,4.7,4.7,4.75,248690,11.82,303,197823,79.55
NILASPACES, EQ, 30-Jun-2020,1.4,1.45,1.45,1.35,1.35,1.35,1.41,2100450,29.71,594,1520349,72.38
NILKAMAL, EQ, 30-Jun-2020,1163.8,1179.75,1181.9,1130,1137.05,1142.6,1159.57,7872,91.28,965,3616,45.93
NIPPOBATRY, EQ, 30-Jun-2020,534.2,535,535,501.1,506,503.1,510.12,13091,66.78,765,7369,56.29
NITCO, EQ, 30-Jun-2020,19,19.95,19.95,18.25,18.3,18.45,19.53,343685,67.11,849,279815,81.42
NITINFIRE, BZ, 30-Jun-2020,1.05,1.1,1.1,1.1,1.1,1.1,1.1,65642,0.72,49, -, -
NITINSPIN, EQ, 30-Jun-2020,43.2,44.1,44.1,40.6,40.9,40.95,42.07,75312,31.68,782,58793,78.07
NKIND, BE, 30-Jun-2020,28.1,29.5,29.5,26.7,26.7,26.7,26.7,2051,0.55,7, -, -
NLCINDIA, EQ, 30-Jun-2020,46.75,46.8,47.4,46,46.25,46.15,46.73,910271,425.37,3468,415032,45.59
NMDC, EQ, 30-Jun-2020,81,81.65,84.4,80.55,81.5,81.15,82.55,7609450,6281.83,34212,2463373,32.37
NOCIL, EQ, 30-Jun-2020,85.95,84.5,84.7,82.35,82.8,82.9,83.34,1480976,1234.25,11235,629371,42.5
NOIDATOLL, BE, 30-Jun-2020,3.85,3.85,4,3.85,3.95,3.85,3.89,52236,2.03,120, -, -
NPBET, EQ, 30-Jun-2020,116,116.03,119,116.03,116.33,116.33,118.22,45,0.05,4,44,97.78
NRAIL, EQ, 30-Jun-2020,223.35,245.6,258,222.5,228,226.3,238.75,153569,366.64,4941,81504,53.07
NRBBEARING, EQ, 30-Jun-2020,79,81,81,77.05,77.95,77.55,79.15,172909,136.85,2362,94619,54.72
NSIL, EQ, 30-Jun-2020,637.2,669,696,624,696,673.75,659.56,1380,9.1,292,949,68.77
NTPC, EQ, 30-Jun-2020,94.9,97,97.75,95.2,95.3,95.8,96.53,18496450,17853.95,81683,7018343,37.94
NTPC, N4, 30-Jun-2020,1215.41,1206,1206,1205,1205,1205,1205.27,150,1.81,4,150,100
NTPC, N6, 30-Jun-2020,1441.8,1464.9,1484.65,1444.1,1450,1450,1454.58,191,2.78,25,164,85.86
NTPC, N7, 30-Jun-2020,13.74,13.75,13.84,13.75,13.78,13.8,13.78,17773,2.45,72,17267,97.15
NTPC, N8, 30-Jun-2020,1239.99,1150.2,1219.99,1150.2,1219.99,1191.25,1191.25,17,0.2,2,10,58.82
NTPC, NB, 30-Jun-2020,1195,1193,1193,1193,1193,1193,1193,50,0.6,2,50,100
NTPC, ND, 30-Jun-2020,1325,1325,1325,1325,1325,1325,1325,31,0.41,1,31,100
NUCLEUS, EQ, 30-Jun-2020,273.55,275.25,275.25,261.5,262,263.15,267.79,85426,228.76,3181,31107,36.41
NXTDIGITAL, EQ, 30-Jun-2020,397.9,419,419,390.35,393,392.1,397.17,1595,6.33,69,1306,81.88
OAL, EQ, 30-Jun-2020,172.1,188,202.65,185.15,186.1,188.6,193.2,139979,270.44,3947,54180,38.71
OBEROIRLTY, EQ, 30-Jun-2020,361.8,365.05,371.45,364,364.25,365.8,368.23,302786,1114.94,9666,171654,56.69
OCCL, EQ, 30-Jun-2020,763.3,776,777,725.55,737.9,736.85,747.05,11726,87.6,1625,5277,45
OFSS, EQ, 30-Jun-2020,2851,2878.95,2950,2821.95,2860,2863.75,2900.53,67444,1956.23,8004,21527,31.92
OIL, EQ, 30-Jun-2020,95.65,97,97,93.1,93.7,93.65,94.72,1685158,1596.15,16532,876447,52.01
OILCOUNTUB, BE, 30-Jun-2020,5.25,5.25,5.3,5,5.25,5.25,5.23,58606,3.06,76, -, -
OISL, BE, 30-Jun-2020,3.9,4.05,4.05,4.05,4.05,4.05,4.05,29113,1.18,27, -, -
OLECTRA, EQ, 30-Jun-2020,76.4,79.65,79.65,72.6,72.6,72.6,74.94,155306,116.38,1711,114548,73.76
OMAXAUTO, EQ, 30-Jun-2020,31.45,32.85,34.55,31.2,34.55,34.55,34.14,108403,37.01,629,83756,77.26
OMAXE, EQ, 30-Jun-2020,176.4,141.15,141.15,141.15,141.15,141.15,141.15,264236,372.97,2914,264236,100
OMMETALS, EQ, 30-Jun-2020,15.9,16.05,16.15,15.5,15.9,15.85,15.85,69369,11,209,46318,66.77
ONELIFECAP, EQ, 30-Jun-2020,6.4,6.2,6.4,6.1,6.1,6.1,6.13,3808,0.23,28,3698,97.11
ONEPOINT, EQ, 30-Jun-2020,13.1,13.1,13.75,12.65,12.8,12.8,13.08,5388,0.7,63,2460,45.66
ONGC, EQ, 30-Jun-2020,82.4,83.5,83.55,80.65,81.5,81.35,82.19,25762628,21175.56,77411,9702702,37.66
ONMOBILE, EQ, 30-Jun-2020,29.1,30.7,30.7,28.8,29.15,29.05,29.4,51511,15.15,357,34153,66.3
ONWARDTEC, EQ, 30-Jun-2020,64.25,66.2,70.9,60.55,62,62,66.69,130274,86.88,1437,74745,57.38
OPTIEMUS, BE, 30-Jun-2020,23.3,24.25,24.45,22.15,24,22.5,22.77,420941,95.84,187, -, -
OPTOCIRCUI, BE, 30-Jun-2020,16.2,17,17,17,17,17,17,190835,32.44,462, -, -
ORBTEXP, EQ, 30-Jun-2020,59.05,59.25,61.6,59.05,59.2,59.35,60.08,9981,6,170,7963,79.78
ORICONENT, EQ, 30-Jun-2020,17.75,17.85,18.3,16.75,17.25,17.2,17.35,98144,17.03,425,79795,81.3
ORIENTABRA, EQ, 30-Jun-2020,16.85,17.9,17.9,16.3,16.7,16.85,17.2,70296,12.09,377,50731,72.17
ORIENTALTL, BE, 30-Jun-2020,15.05,15.45,15.8,15.35,15.45,15.4,15.42,240691,37.11,381, -, -
ORIENTBELL, EQ, 30-Jun-2020,82,82.3,86.8,80.45,84.55,83.55,84.81,104558,88.67,1816,46069,44.06
ORIENTCEM, EQ, 30-Jun-2020,71.25,69.3,75,69.3,71.05,71.4,72.37,391718,283.5,2993,208750,53.29
ORIENTELEC, EQ, 30-Jun-2020,201.6,205.95,208.25,198,205.95,203.65,202.44,520776,1054.27,9268,259598,49.85
ORIENTHOT, BE, 30-Jun-2020,19.95,20.5,20.5,19,19.45,19.25,19.42,31324,6.08,155, -, -
ORIENTLTD, BE, 30-Jun-2020,79.65,75.7,76.1,75.7,76.1,76.1,76.08,76,0.06,6, -, -
ORIENTPPR, EQ, 30-Jun-2020,21.1,21.15,21.35,20.1,20.4,20.3,20.67,1058141,218.71,3057,551620,52.13
ORIENTREF, EQ, 30-Jun-2020,176.5,172,179,164,178,175.25,170.44,90805,154.77,3258,43167,47.54
ORISSAMINE, EQ, 30-Jun-2020,1605.2,1640,1665.25,1595,1600,1599.2,1623.9,4887,79.36,782,2372,48.54
ORTEL, BZ, 30-Jun-2020,1.75,1.8,1.8,1.8,1.8,1.8,1.8,7000,0.13,2, -, -
ORTINLABSS, EQ, 30-Jun-2020,15.1,14.6,15.85,14.5,15.85,15.85,15.54,56207,8.73,182,33460,59.53
OSWALAGRO, EQ, 30-Jun-2020,14.65,14.45,14.45,13.95,13.95,13.95,14.12,96830,13.68,352,87630,90.5
OSWALSEEDS, SM, 30-Jun-2020,36.4,35.5,36.4,35,35,35,35.51,48000,17.04,6,32000,66.67
PAGEIND, EQ, 30-Jun-2020,20105.5,20200,20340,19779.3,19850,19914.6,20059.23,20642,4140.63,7167,4714,22.84
PAISALO, EQ, 30-Jun-2020,210.9,220.85,238.4,211,213.5,214.5,221.67,11568,25.64,349,3643,31.49
PALASHSECU, BE, 30-Jun-2020,26.9,25.95,27.85,25.85,27.8,27.8,25.94,7104,1.84,20, -, -
PALREDTEC, BE, 30-Jun-2020,17.6,18.45,18.45,17,18.45,18.45,17.87,10105,1.81,48, -, -
PANACEABIO, EQ, 30-Jun-2020,206.35,204.05,206.25,200,201.9,202.35,202.44,137684,278.72,2874,62814,45.62
PANACHE, EQ, 30-Jun-2020,40.85,40.05,42.45,36.8,40,38.5,38.59,5929,2.29,55,1798,30.33
PANAMAPET, EQ, 30-Jun-2020,42.5,41.7,44.1,41.5,42.75,42.15,42.5,5969,2.54,238,4241,71.05
PAPERPROD, EQ, 30-Jun-2020,209.35,209.55,211.5,202.5,204,203.45,206.37,45234,93.35,1428,30327,67.04
PAR, SM, 30-Jun-2020,44.9,43.6,49,43.6,45.6,45.9,46.41,28000,13,14,20000,71.43
PARABDRUGS, BZ, 30-Jun-2020,2.6,2.7,2.7,2.7,2.7,2.7,2.7,10376,0.28,7, -, -
PARACABLES, EQ, 30-Jun-2020,7.95,8.15,8.15,7.5,7.6,7.7,7.7,167108,12.86,357,119409,71.46
PARAGMILK, EQ, 30-Jun-2020,104.3,101.2,101.2,93.9,95.95,95.85,97.48,1144183,1115.4,9907,658813,57.58
PARSVNATH, BE, 30-Jun-2020,3.3,3.45,3.45,3.45,3.45,3.45,3.45,43195,1.49,73, -, -
PASHUPATI, SM, 30-Jun-2020,61,61,61,61,61,61,61,35200,21.47,1,35200,100
PATELENG, EQ, 30-Jun-2020,14.25,14.6,14.7,13.9,13.9,13.95,14.1,444339,62.64,1183,278904,62.77
PATINTLOG, EQ, 30-Jun-2020,20.85,21.95,21.95,19.95,20.8,20.65,20.78,13247,2.75,214,9640,72.77
PATSPINLTD, BE, 30-Jun-2020,6.35,6.65,6.65,6.65,6.65,6.65,6.65,3555,0.24,7, -, -
PCJEWELLER, EQ, 30-Jun-2020,17.3,16.8,17.35,16.6,16.65,16.7,16.88,2027077,342.09,4312,1243638,61.35
PDMJEPAPER, EQ, 30-Jun-2020,16.9,17,17.35,15.4,15.5,15.5,15.85,403005,63.89,1119,256871,63.74
PDSMFL, EQ, 30-Jun-2020,278,278,278,271.95,272,272.6,276.23,6806,18.8,93,4553,66.9
PEARLPOLY, EQ, 30-Jun-2020,15.55,16.5,16.5,15.25,15.3,15.3,15.36,22235,3.42,60,17808,80.09
PEL, EQ, 30-Jun-2020,1387,1388.7,1403.9,1358,1362,1363.8,1378.72,2714401,37424.03,87418,241817,8.91
PENIND, EQ, 30-Jun-2020,18.8,19.35,19.35,18.8,18.9,18.9,18.99,156421,29.71,437,98989,63.28
PENINLAND, EQ, 30-Jun-2020,4.35,4.35,4.45,4.25,4.3,4.35,4.36,127642,5.57,205,74997,58.76
PERSISTENT, EQ, 30-Jun-2020,631.9,638.95,641.15,631,636,635.1,635.43,64782,411.64,4726,40028,61.79
PETRONET, EQ, 30-Jun-2020,262.75,254.95,265.7,253.05,260.1,258.05,259.57,7547343,19590.78,73803,3326759,44.08
PFC, EQ, 30-Jun-2020,87.15,87.7,88.5,82.9,84.6,84,85.74,10983744,9417.83,35198,4099393,37.32
PFC, N1, 30-Jun-2020,1499.99,1261,1797,1261,1680,1680,1500.75,4,0.06,4,0,0
PFC, N2, 30-Jun-2020,1195,1194,1202,1194,1198.7,1198.7,1196.28,477,5.71,4,477,100
PFC, N3, 30-Jun-2020,1325,1344.9,1344.9,1344.9,1344.9,1344.9,1344.9,1,0.01,1,1,100
PFC, N4, 30-Jun-2020,1113.1,1113.1,1113.5,1113.1,1113.2,1113.36,1113.35,1500,16.7,14,1400,93.33
PFC, N6, 30-Jun-2020,1210,1210,1210,1210,1210,1210,1210,2,0.02,1,2,100
PFC, N8, 30-Jun-2020,1455,1455,1455,1453,1453,1453.01,1453.3,993,14.43,11,993,100
PFIZER, EQ, 30-Jun-2020,4034.85,4050,4053.95,3955,3965,3963.8,3990.55,54376,2169.9,7491,32126,59.08
PFOCUS, EQ, 30-Jun-2020,26.1,26.35,26.8,25.15,25.5,25.7,25.81,20351,5.25,218,12858,63.18
PFS, EQ, 30-Jun-2020,13.1,13.2,13.3,12.45,12.55,12.55,12.86,799957,102.84,1686,507266,63.41
PGEL, EQ, 30-Jun-2020,44.2,44.5,45.55,43.15,45,44.6,44.18,19043,8.41,477,8443,44.34
PGHH, EQ, 30-Jun-2020,10175.1,10177,10199.95,10100.05,10140,10151.65,10146.85,1673,169.76,597,1161,69.4
PGHL, EQ, 30-Jun-2020,4043.15,4044,4130,4030.05,4055,4069.9,4084.87,18077,738.42,3078,5941,32.86
PGIL, EQ, 30-Jun-2020,105,107.45,107.45,103,103,103,103.92,1754,1.82,83,1212,69.1
PHILIPCARB, EQ, 30-Jun-2020,92.9,93.55,94.9,87.5,88,88.45,90.54,1104167,999.71,11473,475354,43.05
PHOENIXLTD, EQ, 30-Jun-2020,585.05,580.3,608.95,570,581.3,584.95,585.96,124986,732.36,9879,55934,44.75
PIDILITIND, EQ, 30-Jun-2020,1384.9,1391.7,1399.4,1366.25,1372.95,1372.1,1376.72,517776,7128.35,26942,169139,32.67
PIIND, EQ, 30-Jun-2020,1524.75,1531.65,1537.7,1500,1505.05,1503.95,1513.66,156721,2372.23,15141,108359,69.14
PILANIINVS, EQ, 30-Jun-2020,1388.7,1350.1,1390,1350.1,1353.1,1354.1,1372.46,238,3.27,76,112,47.06
PILITA, EQ, 30-Jun-2020,6.45,6.15,6.75,6.15,6.65,6.65,6.55,535613,35.09,682,224747,41.96
PIONDIST, EQ, 30-Jun-2020,114.65,114.5,116.6,111.05,113.1,114.3,113.34,6652,7.54,295,5398,81.15
PIONEEREMB, EQ, 30-Jun-2020,26.95,26.5,27.8,25.25,26.25,26.75,26.74,96349,25.77,958,39613,41.11
PITTIENG, EQ, 30-Jun-2020,29.95,29.95,33,29.95,31.5,31.35,31.82,84481,26.88,530,41380,48.98
PKTEA, BE, 30-Jun-2020,95,95,95,95,95,95,95,110,0.1,4, -, -
PLASTIBLEN, EQ, 30-Jun-2020,176.3,171,174,166.4,169,168.75,168.69,26765,45.15,715,20305,75.86
PNB, EQ, 30-Jun-2020,35.35,35.8,36.15,34.55,34.8,34.75,35.28,22906506,8081.57,52514,3705831,16.18
PNBGILTS, EQ, 30-Jun-2020,36.75,36.7,37.2,36,36.05,36.1,36.44,227823,83.01,888,163228,71.65
PNBHOUSING, EQ, 30-Jun-2020,212.5,213.5,216,204.4,207.85,207.55,210.58,304304,640.82,5361,130324,42.83
PNC, EQ, 30-Jun-2020,14.85,15.35,15.45,14.2,14.6,14.75,15.03,5217,0.78,53,3123,59.86
PNCINFRA, EQ, 30-Jun-2020,142.05,143.4,144.45,141.7,143.2,143.15,143.11,127622,182.64,2549,76717,60.11
PODDARHOUS, EQ, 30-Jun-2020,205,205,205,193.05,205,204.85,198.84,611,1.21,67,334,54.66
PODDARMENT, EQ, 30-Jun-2020,154.35,155.15,157.6,150.55,151,151,154.29,5190,8.01,256,3549,68.38
POKARNA, BE, 30-Jun-2020,115,115,120.75,115,120,119.25,120.29,181487,218.3,355, -, -
POLYCAB, EQ, 30-Jun-2020,769.45,777,804.8,777,790,789.3,792.4,864733,6852.16,24576,586205,67.79
POLYMED, EQ, 30-Jun-2020,291.6,294,298,285.3,297,294.4,291.75,39496,115.23,1863,21471,54.36
POLYPLEX, EQ, 30-Jun-2020,482.55,485,488,472,474,473.55,476.9,68492,326.64,2908,38401,56.07
PONNIERODE, EQ, 30-Jun-2020,152.3,154.35,154.35,147.5,150.15,150.55,152.42,4679,7.13,207,2861,61.15
POWERGRID, EQ, 30-Jun-2020,178.25,179,179.95,174,174.8,174.85,176.95,6687893,11834.19,57865,2895543,43.3
POWERINDIA, EQ, 30-Jun-2020,841,842.8,843.85,840.05,840.05,840.25,840.8,8675,72.94,245,8020,92.45
POWERMECH, EQ, 30-Jun-2020,468.35,474,478,450.1,455,454.15,465.78,35514,165.42,2593,18736,52.76
PPAP, EQ, 30-Jun-2020,168.05,171.8,172.05,167.35,167.8,168.65,170.9,58041,99.19,898,32349,55.73
PPL, EQ, 30-Jun-2020,56.1,53.4,56,53.4,55.75,54.5,54.22,71286,38.65,413,57799,81.08
PRABHAT, EQ, 30-Jun-2020,70.1,70.9,70.9,70,70.05,70.45,70.35,23470,16.51,279,16520,70.39
PRAENG, EQ, 30-Jun-2020,7.1,6.8,7.1,6.75,6.75,6.75,6.78,27217,1.84,79,27174,99.84
PRAJIND, EQ, 30-Jun-2020,63.3,63.75,64.9,62.6,63.3,63.2,63.72,1293912,824.47,6428,209448,16.19
PRAKASH, EQ, 30-Jun-2020,35.15,35.25,36.7,34.7,35.2,35.1,35.47,580167,205.78,3876,371386,64.01
PRAKASHSTL, BE, 30-Jun-2020,1.9,1.95,1.95,1.95,1.95,1.95,1.95,475146,9.27,174, -, -
PRAXIS, EQ, 30-Jun-2020,36.05,34.55,34.55,34.25,34.25,34.25,34.39,6333,2.18,54,4856,76.68
PRECAM, EQ, 30-Jun-2020,28.4,28.4,28.75,26.5,27.2,26.85,27.27,375265,102.33,4605,290583,77.43
PRECOT, EQ, 30-Jun-2020,24.25,23.35,26.45,23.35,24,23.85,24.06,4496,1.08,85,2307,51.31
PRECWIRE, EQ, 30-Jun-2020,100.85,103,104.5,99.05,100,100.1,101.99,13468,13.74,423,8213,60.98
PREMEXPLN, EQ, 30-Jun-2020,109.85,111.1,111.1,104.4,104.4,104.4,104.77,26625,27.9,201,22422,84.21
PREMIERPOL, EQ, 30-Jun-2020,25.85,25,27.25,24.8,26.2,25.5,25.84,10367,2.68,92,7418,71.55
PRESSMN, EQ, 30-Jun-2020,20.3,20.25,21.8,19.1,21.3,20.85,20.75,118200,24.53,898,71964,60.88
PRESTIGE, EQ, 30-Jun-2020,214.6,216.95,221.95,208.05,210,209.6,214.25,510266,1093.27,16522,256184,50.21
PRICOLLTD, EQ, 30-Jun-2020,39.45,40.1,40.3,37,37.45,37.9,38.86,79697,30.97,702,55497,69.63
PRIMESECU, EQ, 30-Jun-2020,46.7,46,48,43.8,45.65,45.7,45.45,38440,17.47,355,28356,73.77
PRINCEPIPE, EQ, 30-Jun-2020,113.3,116.5,116.5,107.65,109.75,108.85,110.12,278566,306.76,4094,159550,57.28
PRITI, SM, 30-Jun-2020,81,81,81,81,81,81,81,16000,12.96,5,16000,100
PROZONINTU, EQ, 30-Jun-2020,20.3,20.3,21.2,20,20.5,20.25,20.49,175314,35.92,896,90586,51.67
PRSMJOHNSN, EQ, 30-Jun-2020,46.85,47.5,49.4,45.75,47.15,46.55,47.38,284390,134.74,2214,100204,35.23
PSB, EQ, 30-Jun-2020,16.3,15.5,15.5,15.5,15.5,15.5,15.5,166741,25.84,460,162491,97.45
PSPPROJECT, EQ, 30-Jun-2020,393.95,396.4,400,379.55,386.15,389.95,390.84,50353,196.8,1656,37703,74.88
PSUBNKBEES, EQ, 30-Jun-2020,16.02,16.4,16.4,15.61,15.64,15.66,15.87,515900,81.89,650,369980,71.72
PTC, EQ, 30-Jun-2020,48.95,48.55,49.45,48.15,48.75,48.5,48.81,2140494,1044.72,7406,1202044,56.16
PTL, EQ, 30-Jun-2020,34.05,34.35,34.35,32.4,33.75,33.85,33.94,11844,4.02,89,8730,73.71
PUNJABCHEM, EQ, 30-Jun-2020,482.25,487.95,487.95,470.05,474,474.4,476.97,1998,9.53,153,1584,79.28
PUNJLLOYD, BZ, 30-Jun-2020,2.1,2.2,2.2,2.2,2.2,2.2,2.2,52725,1.16,48, -, -
PURVA, EQ, 30-Jun-2020,40.25,41,41,40,40.25,40.25,40.41,67407,27.24,516,42043,62.37
PVR, EQ, 30-Jun-2020,1023.85,993,1015,992,1003,1001.7,1002.08,2335612,23404.71,63421,198132,8.48
QGOLDHALF, EQ, 30-Jun-2020,2111,2115,2122,2111,2115,2115,2115.01,20145,426.07,72,19980,99.18
QNIFTY, EQ, 30-Jun-2020,1054,1064,1064,1061,1061,1061,1063.75,12,0.13,5,8,66.67
QUESS, EQ, 30-Jun-2020,385,388.4,390,365.75,365.75,365.75,379.25,423763,1607.11,7967,257267,60.71
QUICKHEAL, EQ, 30-Jun-2020,116.45,117.8,119.45,114.75,116.2,115.8,117.3,238952,280.29,3638,108119,45.25
RADICO, EQ, 30-Jun-2020,363.05,367.3,376.5,361.15,375.5,373.5,368.34,399290,1470.76,8227,156127,39.1
RADIOCITY, EQ, 30-Jun-2020,17.25,17.25,17.5,16.7,16.8,16.8,17.08,515451,88.06,1163,298350,57.88
RAIN, EQ, 30-Jun-2020,77.95,79,79.1,75.6,75.85,76,76.96,708249,545.05,4342,265750,37.52
RAJESHEXPO, EQ, 30-Jun-2020,483.95,486.95,486.95,462,465.45,466,472.21,176602,833.93,10851,89694,50.79
RAJRATAN, EQ, 30-Jun-2020,213.65,224.9,224.9,213,216.55,216.7,218.36,4263,9.31,98,3026,70.98
RAJSREESUG, BE, 30-Jun-2020,16.1,16.3,16.3,15.5,15.95,16,15.68,4236,0.66,33, -, -
RAJTV, EQ, 30-Jun-2020,35.6,35.1,35.6,34.35,35,34.65,35.27,2018,0.71,43,1604,79.48
RALLIS, EQ, 30-Jun-2020,259.35,262.35,275.85,261.15,272.75,272.3,270.74,1650309,4468.08,22842,563584,34.15
RAMANEWS, EQ, 30-Jun-2020,16.15,16.8,17.5,15.7,16,16.1,16.77,343219,57.57,1079,174110,50.73
RAMASTEEL, EQ, 30-Jun-2020,34.75,34.25,35.85,33.1,34.25,34.95,34.78,10137,3.53,187,5484,54.1
RAMCOCEM, EQ, 30-Jun-2020,635.4,633,642.1,629,640,635.1,636.44,311849,1984.73,7468,64856,20.8
RAMCOIND, EQ, 30-Jun-2020,154.05,156.7,162.5,152.95,157.65,157.6,158.86,57741,91.73,1571,21524,37.28
RAMCOSYS, EQ, 30-Jun-2020,114.9,112,113.9,109.2,109.7,110.15,110.51,291732,322.39,4257,151939,52.08
RAMKY, EQ, 30-Jun-2020,35.5,36.45,36.7,35.15,35.35,35.3,35.63,18695,6.66,254,14273,76.35
RANASUG, BE, 30-Jun-2020,4.15,4.2,4.3,4.1,4.3,4.25,4.23,250310,10.59,350, -, -
RANEENGINE, EQ, 30-Jun-2020,208.15,212.95,221.8,205,206.95,206.6,210.74,1190,2.51,100,946,79.5
RANEHOLDIN, EQ, 30-Jun-2020,434,445,450,426,431.4,428.7,435.36,10461,45.54,1073,4928,47.11
RATNAMANI, EQ, 30-Jun-2020,1042.3,1045,1069.85,1041.1,1045,1044.25,1050,12386,130.05,3282,7550,60.96
RAYMOND, EQ, 30-Jun-2020,287,276.2,284.8,275.2,277.5,277.55,279.71,913170,2554.26,17695,344049,37.68
RBL, EQ, 30-Jun-2020,540.4,550,565.5,538,547,542.35,549.26,16518,90.73,1703,5296,32.06
RBLBANK, EQ, 30-Jun-2020,179.65,183,185.5,172.55,173.85,173.5,178.27,26561761,47351.16,140885,3387845,12.75
RCF, EQ, 30-Jun-2020,47.2,47.45,47.6,46.05,46.35,46.4,46.78,1433523,670.58,5557,462768,32.28
RCOM, BE, 30-Jun-2020,1.5,1.55,1.55,1.55,1.55,1.55,1.55,980988,15.21,409, -, -
RECLTD, EQ, 30-Jun-2020,109.7,110.85,112.05,107.55,108.05,108.1,109.73,5647398,6197.02,26229,2027174,35.9
RECLTD, N2, 30-Jun-2020,1196.03,1210,1218,1200.02,1218,1218,1211.21,376,4.55,41,340,90.43
RECLTD, N9, 30-Jun-2020,1314.3,1316,1316,1316,1316,1316,1316,50,0.66,1,50,100
RECLTD, NH, 30-Jun-2020,1265,1314.8,1314.8,1314.8,1314.8,1314.8,1314.8,1,0.01,1,1,100
RECLTD, NI, 30-Jun-2020,1190.04,1190.2,1190.2,1190.2,1190.2,1190.2,1190.2,1,0.01,1,1,100
REDINGTON, EQ, 30-Jun-2020,86.85,87.8,88.9,86.35,87.95,87.85,87.54,426716,373.54,6112,245831,57.61
REFEX, EQ, 30-Jun-2020,61.85,68,68,68,68,68,68,90350,61.44,670,90323,99.97
RELAXO, EQ, 30-Jun-2020,631.75,635,637.9,628,632,633.35,633.37,178678,1131.69,8592,83967,46.99
RELCAPITAL, BE, 30-Jun-2020,11.9,12.45,12.45,12.45,12.45,12.45,12.45,330369,41.13,565, -, -
RELIABLE, SM, 30-Jun-2020,24.25,23.05,23.05,23.05,23.05,23.05,23.05,2400,0.55,1,2400,100
RELIANCE, EQ, 30-Jun-2020,1723.15,1737,1741,1695.55,1707.5,1704.1,1718.1,13973038,240070.94,277133,5567451,39.84
RELIANCEPP, E1, 30-Jun-2020,816.9,832.15,832.75,788.55,799.9,797.6,810.28,1870307,15154.7,44244,784168,41.93
RELIGARE, EQ, 30-Jun-2020,42.5,42,42.95,40.75,40.75,41.35,41.49,353233,146.54,874,271098,76.75
RELINFRA, EQ, 30-Jun-2020,36.9,38.7,38.7,38.7,38.7,38.7,38.7,594773,230.18,826,594773,100
REMSONSIND, EQ, 30-Jun-2020,74,78,78,71,72,71.55,73.86,64796,47.86,418,11630,17.95
RENUKA, EQ, 30-Jun-2020,10.65,11.15,11.15,11.15,11.15,11.15,11.15,716010,79.84,784,614682,85.85
REPCOHOME, EQ, 30-Jun-2020,129,128.05,131,122.55,122.85,122.55,124.91,388275,485.01,3727,255250,65.74
REPRO, EQ, 30-Jun-2020,399.1,399.05,412.95,380.55,382.6,384.95,396.76,7866,31.21,559,4926,62.62
RESPONIND, EQ, 30-Jun-2020,77.1,77.6,80,75.7,76.5,75.9,77.46,103900,80.48,1893,9563,9.2
REVATHI, EQ, 30-Jun-2020,392.7,398.05,399.55,385.05,391,388.95,389.44,831,3.24,94,591,71.12
RGL, EQ, 30-Jun-2020,215.95,215.95,234,215.95,223.3,223.45,228.24,2788,6.36,128,1944,69.73
RHFL, BE, 30-Jun-2020,2.3,2.4,2.4,2.4,2.4,2.4,2.4,97591,2.34,124, -, -
RHFL, N4, 30-Jun-2020,165,165,185,165,180,179.99,174.44,360,0.63,16,320,88.89
RHFL, N6, 30-Jun-2020,260,260,261,260,261,261,260.17,60,0.16,3,60,100
RHFL, N8, 30-Jun-2020,121.5,138.9,143,138.9,143,143,142.8,105,0.15,2,105,100
RICOAUTO, EQ, 30-Jun-2020,31.45,33,33.4,31.85,32.3,32.45,32.67,753379,246.14,3745,305238,40.52
RIIL, EQ, 30-Jun-2020,409.1,414,418.9,397.15,399.35,401.7,408.68,372738,1523.32,10071,82436,22.12
RITES, EQ, 30-Jun-2020,238.8,242.75,251.4,242,246.5,246.25,247.31,2346778,5803.84,31047,848853,36.17
RKDL, EQ, 30-Jun-2020,8.5,8.2,8.4,8.1,8.1,8.1,8.11,15741,1.28,73,12069,76.67
RKEC, SM, 30-Jun-2020,40,40,41,40,41,40.25,40.25,4000,1.61,3,4000,100
RKFORGE, EQ, 30-Jun-2020,165.2,165.2,169.5,162.55,163.45,162.9,165.04,69603,114.87,1237,17185,24.69
RMCL, BE, 30-Jun-2020,4.8,5,5,5,5,5,5,24817,1.24,80, -, -
RML, EQ, 30-Jun-2020,221.85,223,229.65,216.7,220,218.8,221.3,16023,35.46,764,9155,57.14
RNAVAL, BE, 30-Jun-2020,2.5,2.6,2.6,2.6,2.6,2.6,2.6,148207,3.85,113, -, -
ROHITFERRO, BE, 30-Jun-2020,1.5,1.55,1.55,1.45,1.5,1.45,1.53,104846,1.61,101, -, -
ROHLTD, EQ, 30-Jun-2020,54.3,54.3,54.9,52.65,53.2,53.05,53.51,30144,16.13,480,17361,57.59
ROLLT, BE, 30-Jun-2020,2,2.1,2.1,2.1,2.1,2.1,2.1,22815,0.48,40, -, -
ROLTA, EQ, 30-Jun-2020,6.9,7.2,7.2,7.2,7.2,7.2,7.2,126249,9.09,187,126249,100
ROSSELLIND, EQ, 30-Jun-2020,62,64.5,64.5,60.1,63,61.25,61.34,7198,4.42,126,5367,74.56
