SYMBOL, SERIES, DATE1,PREVCL, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
MANAKCOAT, EQ, 30-Jun-2020,5.6,5.85,5.85,5.85,5.85,5.85,5.85,1132,0.07,8,1132,100
MANAKSIA, EQ, 30-Jun-2020,38.45,39.05,39.65,36.9,37.25,37.25,37.87,28024,10.61,232,23329,83.25
MANAKSTEEL, EQ, 30-Jun-2020,10.95,10.9,11.25,10.45,10.95,10.6,10.81,30297,3.28,171,19153,63.22
MANALIPETC, EQ, 30-Jun-2020,18.9,18.9,19.45,17.75,18.8,18.65,18.81,226001,42.52,1156,111035,49.13
MANAPPURAM, EQ, 30-Jun-2020,152.75,154.9,155.7,151,151.6,151.35,153.27,4830172,7403.4,26254,1115434,23.09
MANAV, SM, 30-Jun-2020,4.55,4.75,4.75,4.75,4.75,4.75,4.75,4000,0.19,1,4000,100
MANGALAM, BE, 30-Jun-2020,70.45,73.95,73.95,73.95,73.95,73.95,73.95,85434,63.18,433, -, -
MANGCHEFER, EQ, 30-Jun-2020,37.6,37.55,38,34.8,36.1,36.2,36.1,834006,301.07,11140,417382,50.05
MANGLMCEM, EQ, 30-Jun-2020,189.5,190.15,192.25,186.4,188,187,188.18,194839,366.65,1154,176222,90.44
MANGTIMBER, EQ, 30-Jun-2020,8.45,8.1,8.75,8.1,8.55,8.5,8.28,2270,0.19,71,1295,57.05
MANINDS, EQ, 30-Jun-2020,46.05,46.55,47.9,45.25,45.4,45.4,46.65,77053,35.94,781,34111,44.27
MANINFRA, EQ, 30-Jun-2020,19.8,20.3,20.3,18.75,18.95,18.85,19.27,175067,33.73,912,144884,82.76
MANUGRAPH, BE, 30-Jun-2020,10.35,10.8,10.85,10,10.4,10.4,10.53,20124,2.12,53, -, -
MANXT50, EQ, 30-Jun-2020,258.18,259.5,259.5,258,258,258,258.45,127,0.33,8,103,81.1
MARALOVER, EQ, 30-Jun-2020,13.9,14,14,13.6,13.85,13.85,13.88,2141,0.3,12,1679,78.42
MARATHON, EQ, 30-Jun-2020,54.15,55.5,55.5,52.1,52.1,52.2,53.51,4530,2.42,87,3078,67.95
MARICO, EQ, 30-Jun-2020,346,347.05,354.65,347,352.7,351.9,351.16,5313478,18658.89,101830,2158517,40.62
MARINE, SM, 30-Jun-2020,91.6,91.1,91.85,90.5,90.5,90.5,91.24,8000,7.3,4,2000,25
MARKSANS, EQ, 30-Jun-2020,33.55,33.1,34,32.05,32.1,32.2,32.7,2030101,663.82,6347,1145325,56.42
MARSHALL, SM, 30-Jun-2020,6.45,6.15,6.15,6.15,6.15,6.15,6.15,12000,0.74,4,12000,100
MARUTI, EQ, 30-Jun-2020,5678.7,5750,5874.5,5681.45,5830,5838.3,5806.09,2015839,117041.49,140161,435446,21.6
MASFIN, EQ, 30-Jun-2020,665.95,667.15,670.35,650,655,662.05,659.43,21123,139.29,1192,14365,68.01
MASKINVEST, BE, 30-Jun-2020,31.55,33.1,33.1,33.1,33.1,33.1,33.1,630,0.21,7, -, -
MASTEK, EQ, 30-Jun-2020,398.3,401.95,408,385,396.1,399,397.12,140007,555.99,5643,50138,35.81
MATRIMONY, EQ, 30-Jun-2020,376.75,379.85,424,373,400,386.8,395.6,16199,64.08,1205,4291,26.49
MAWANASUG, BE, 30-Jun-2020,31.15,31.15,31.15,29.6,29.6,29.6,30.01,33882,10.17,179, -, -
MAXVIL, EQ, 30-Jun-2020,35.85,35.85,36.35,33.5,33.55,33.95,34.61,79479,27.5,709,53486,67.3
MAYURUNIQ, EQ, 30-Jun-2020,171.55,190,205.85,188,205.85,205.85,204.24,748836,1529.46,6030,291915,38.98
MAZDA, EQ, 30-Jun-2020,295.65,302,317.95,302,309.8,306.15,309.95,19382,60.07,1093,11271,58.15
MBAPL, BE, 30-Jun-2020,63,63,65,59.85,59.85,59.85,64.82,5172,3.35,13, -, -
MBECL, BE, 30-Jun-2020,6,6.3,6.3,5.8,6.2,6.2,6.15,74626,4.59,126, -, -
MBLINFRA, BE, 30-Jun-2020,6.65,6.35,6.85,6.35,6.45,6.45,6.56,66419,4.36,96, -, -
MCDHOLDING, EQ, 30-Jun-2020,25.35,25.95,26,24.5,25.1,24.85,24.93,32985,8.22,168,16473,49.94
MCDOWELL-N, EQ, 30-Jun-2020,584.05,591.5,606.9,583.05,591,592.3,595.73,4671574,27829.99,73868,1052342,22.53
MCLEODRUSS, BE, 30-Jun-2020,8.2,7.8,7.8,7.8,7.8,7.8,7.8,74758,5.83,185, -, -
MCX, EQ, 30-Jun-2020,1258.05,1269,1292.4,1243,1283.25,1283.9,1270.29,387329,4920.2,16601,82647,21.34
MEGASOFT, EQ, 30-Jun-2020,8.25,8.65,8.65,7.85,7.85,7.85,8.12,92538,7.52,151,60412,65.28
MEGH, EQ, 30-Jun-2020,50.9,51.25,52.75,50.3,52.1,51.4,51.5,1898418,977.69,8051,412522,21.73
MELSTAR, BZ, 30-Jun-2020,3.3,3.15,3.3,3.15,3.15,3.15,3.15,15397,0.49,23, -, -
MENONBE, EQ, 30-Jun-2020,40.65,40.5,40.95,36.3,38,37.9,38.17,175512,66.99,1805,88683,50.53
MEP, BE, 30-Jun-2020,19.9,19.45,20,18.95,19.5,19.15,19.12,173515,33.17,358, -, -
MERCATOR, BE, 30-Jun-2020,1.45,1.5,1.5,1.45,1.5,1.5,1.49,5453621,81.45,1220, -, -
METALFORGE, BE, 30-Jun-2020,5.75,5.75,6,5.5,5.5,5.6,5.78,25261,1.46,95, -, -
